	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		0.994186046511628	0	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0	0.994186046511628	0.994186046511628	0.994186046511628	0.802325581395349	0.994186046511628	0.918604651162791	0.994186046511628	0.837209302325581	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.959302325581395	0.994186046511628	0	0.918604651162791	0.924418604651163	0.988372093023256	0.918604651162791	0.994186046511628	0.941860465116279	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.988372093023256	0.994186046511628	0.994186046511628	0.994186046511628	0.982558139534884	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0.994186046511628	0	0.976744186046512	0.994186046511628	0.994186046511628	0.988372093023256	0.994186046511628
Acropora_cervicornis	0.994186046511628		0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Aiptasia_pallida	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amoebidium	0.994186046511628	1	0		1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Amphimedon_queenslandica	0.994186046511628	1	0	1		1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Aphrocallistes_vastus	0.994186046511628	1	0	1	1		1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Aurelia_aurita	0.994186046511628	1	0	1	1	1		1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Beroe_abyssicola	0.994186046511628	1	0	1	1	1	1		1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Bolocera_tuediae	0.994186046511628	1	0	1	1	1	1	1		1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
Botryllus_schlosseri	0.994186046511628	1	0	1	1	1	1	1	1		1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.808139534883721	1	0.924418604651163	1	0.843023255813954	1	1	1	1	1	1	1	1	0.965116279069767	1	0	0.924418604651163	0.930232558139535	0.988372093023256	0.918604651162791	1	0.947674418604651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994186046511628	0.994186046511628	1	0.994186046511628	0.988372093023256	0.994186046511628	1	1	1	1	1	0	0.982558139534884	1	1	0.994186046511628	1
